name,area,aabb,zone,zabb,section,sabb,fault,fabb
OCBA-NIRC-DANA-Newport_Inglewood_fault-SRLN-CVMH-CFM5,Offshore Continental Borderland Area,OCBA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Dana Point section,DANA,Newport-Inglewood fault,NIWF
OCBA-NIRC-OCNS-Newport_Inglewood_Rose_Canyon_link-CFM5,Offshore Continental Borderland Area,OCBA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Oceanside section,OCNS,Newport-Inglewood-Rose Canyon link,NRCL
OCBA-NIRC-RSCN-Rose_Canyon_fault-CFM5,Offshore Continental Borderland Area,OCBA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Multiple sections-offshore,RSCN,Rose Canyon fault,RSCF
OCBA-OCSD-OCNS-Oceanside_detachment_alt1-SRLN-CVMH-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside detachment,OCSD
OCBA-OCSD-OCNS-Oceanside_fault_north-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-north,OCSN
OCBA-OCSD-OCNS-Oceanside_fault_south_east_A-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-east-A,OSEA
OCBA-OCSD-OCNS-Oceanside_fault_south_east_B-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-east-B,OSEB
OCBA-OCSD-OCNS-Oceanside_fault_south_east_C-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-east-C,OSEC
OCBA-OCSD-OCNS-Oceanside_fault_south_west-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-west,OSSW
OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM5,Offshore Continental Borderland Area,OCBA,Palos Verdes fault zone,PVFZ,Multiple sections,MULT,Palos Verdes fault,PLVF
OCBA-SCCR-MULT-Santa_Cruz_Catalina_Ridge_fault-CFM5,Offshore Continental Borderland Area,OCBA,Santa Cruz-Catalina Ridge fault system,SCCR,Multiple Sections,MULT,Santa Cruz-Catalina Ridge fault,SCRF
OCBA-SCFZ-CTLB-San_Clemente_fault_splay-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCFZ,Catalina Basin,CTLB,San Clemente fault splay,SCLS
OCBA-SCFZ-SBRI-San_Clemente_fault_nw_strand-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCFZ,Santa Barbara Island area,SBRI,San Clemente fault nw-strand,SCNW
OCBA-SCFZ-SCBR-San_Clemente_fault-LEGG-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCFZ,San Clemente Basin region,SCBR,San Clemente fault,SCLF
OCBA-SCFZ-SCLI-San_Clemente_fault-LEGG-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCFZ,San Clemente Island,SCLI,San Clemente fault,SCLF
OCBA-SDTZ-30MB-San_Diego_Trough_fault-LEGG-CFM5,Offshore Continental Borderland Area,OCBA,San Diego Trough fault zone,SDTZ,Thirtymile Bank,30MB,San Diego Trough fault,SDTF
OCBA-SDTZ-CTLB-San_Diego_Trough_fault-LEGG-CFM5,Offshore Continental Borderland Area,OCBA,San Diego Trough fault zone,SDTZ,Catalina Basin,CTLB,San Diego Trough fault,SDTF
OCBA-SMCS-MULT-San_Mateo_Carlsbad_fault-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,Multiple sections,MULT,San Mateo-Carlsbad fault,SMCF
OCBA-SMCS-SMTO-San_Mateo_splay-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,San Mateo,SMTO,San Mateo splay,SMTF
OCBA-SMCS-SMTO-San_Onofre_fault_upper-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,San Mateo,SMTO,San Onofre fault,SONF
OCBA-SPBZ-NTHS-San_Pedro_Basin_fault_north-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Basin fault zone,SPBZ,Santa Monica Bay-San Pedro Basin,NTHS,San Pedro Basin fault-north,SPBN
OCBA-SPBZ-STHS-San_Pedro_Basin_fault_south-LEGG-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Basin fault zone,SPBZ,San Pedro Basin-San Diego Trough,STHS,San Pedro Basin fault-south,SPBS
OCCA-HSFZ-MULT-Hosgri_San_Simeon_fault-CFM1,Offshore Central California Area,OCCA,Hosgri fault zone,HSFZ,Multiple sections,MULT,Hosgri fault,HSGF
PNRA-ATEV-MULT-Agua_Tibia_Earthquake_Valley_fault_east-CFM4,Peninsular Ranges Area,PNRA,Agua Tibia-Earthquake Valley fault zone,ATEV,Multiple sections,MULT,Agua Tibia-Earthquake Valley fault-east,EQVE
PNRA-ATEV-MULT-Agua_Tibia_Earthquake_Valley_fault_main-CFM4,Peninsular Ranges Area,PNRA,Agua Tibia-Earthquake Valley fault zone,ATEV,Multiple sections,MULT,Agua Tibia-Earthquake Valley fault,EQVF
PNRA-ATEV-MULT-Agua_Tibia_Earthquake_Valley_fault_west-CFM4,Peninsular Ranges Area,PNRA,Agua Tibia-Earthquake Valley fault zone,ATEV,Multiple sections,MULT,Agua Tibia-Earthquake Valley fault-west,EQVW
PNRA-CEPS-BLDH-Compton-Los_Alamitos_fault-CFM2,Peninsular Ranges Area,PNRA,Compton-Lower Elysian Park fault system,CLEP,Baldwin Hills,BLDH,Compton-Los_Alamitos fault,CLAF
PNRA-CEPS-LABS-Anaheim_fault-CFM1,Peninsular Ranges Area,PNRA,Compton-Lower Elysian Park fault system,CLEP,Los Angeles Basin,LABS,Anaheim fault,ANHF
PNRA-CEPS-LABS-Compton-Los_Alamitos_fault-CFM2,Peninsular Ranges Area,PNRA,Compton-Lower Elysian Park fault system,CLEP,Los Angeles Basin,LABS,Compton-Los_Alamitos fault,CLAF
PNRA-CEPS-PHLS-Lower_Elysian_Park_fault-CFM1,Peninsular Ranges Area,PNRA,Compton-Lower Elysian Park fault system,CLEP,Puente Hills,PHLS,Lower Elysian Park fault,LEPF
PNRA-CRSF-ALCM-Sawtooth_Range_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Allicito Mountains,ALCM,Sawtooth Range fault,SWRF
PNRA-CRSF-CHNH-Yorba_Linda_lineament-CFM2,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Chino Hills,CHNH,Yorba Linda Lineament,YRLL
PNRA-CRSF-CYMT-Devils_Canyon_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Coyote Mountains,CYMT,Devil's Canyon fault,DVCF
PNRA-CRSF-EMCP-El_Mayor_Cucapah_normal_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,El Mayor-Cucapah,EMCP,El Mayor-Cucapah normal fault,EMNF
PNRA-CRSF-EMCP-El_Mayor_Cucapah_west_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,El Mayor-Cucapah,EMCP,El Mayor-Cucapah west fault,EMWF
PNRA-CRSF-OCOT-Ocotillo_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo fault,OCTF
PNRA-CRSF-OCOT-Ocotillo_set1-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set1,OCS1
PNRA-CRSF-OCOT-Ocotillo_set2-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set2,OCS2
PNRA-CRSF-OCOT-Ocotillo_set3-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set3,OCS3
PNRA-CRSF-OCOT-Ocotillo_set4-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set4,OCS4
PNRA-CRSF-OCOT-Ocotillo_set5-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set5,OCS5
PNRA-CRSF-PGWS-Painted_Gorge_Wash_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Painted Gorge Wash,PGWS,Painted Gorge Wash fault,PGWF
PNRA-CRSF-USAV-Fontana_Seismicity_lineament-CFM1,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Upper Santa Ana Valley,USAV,Fontana Seismicity lineament,FNTS
PNRA-CRSF-USAV-Red_Hill_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Upper Santa Ana Valley,USAV,Red Hill fault,RDHF
PNRA-CRSF-YUHA-Shell_Beds_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Shell Beds fault,SBDF
PNRA-CRSF-YUHA-Yuha_Wash_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Wash fault,YWSF
PNRA-CRSF-YUHA-Yuha_Well_Vista_del_Anza_fault_truncated-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well-Vista del Anza_fault,YWVA
PNRA-CRSF-YUHA-Yuha_Well_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well fault zone,YWLF
PNRA-CRSF-YUHA-Yuha_Well_fault_north_set1-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well fault-north set1,YWLN
PNRA-CRSF-YUHA-Yuha_Well_fault_northwest_steep-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well fault-northwest,YWNW
PNRA-CRSF-YUHA-Yuha_Well_fault_west_steep-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well fault-west,YWLW
PNRA-CRSF-YUHA-Yuha_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha fault,YUHA
PNRA-CSTF-SJQH-San_Joaquin_Hills_fault_truncated-CFM3,Peninsular Ranges Area,PNRA,Coastal Faults,CSTF,San Joaquin Hills,SJQH,San Joaquin Hills fault,SJHF
PNRA-DVVZ-DVSV-Davies_Valley_fault-CFM5,Peninsular Ranges Area,PNRA,Davies Valley fault zone,DVVZ,Davies Valley,DVSV,Davies Valley fault,DVVF
PNRA-DVVZ-NDVV-Northern_Davies_Valley_set1-CFM4,Peninsular Ranges Area,PNRA,Davies Valley fault zone,DVVZ,Northern Davies Valley,NDVS,Northern Davies Valley fault,NDVV
PNRA-ELSZ-CHNO-Chino_fault_Central_Ave-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Chino,CHNO,Chino Fault,CHNF
PNRA-ELSZ-CHNO-Chino_fault_main-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Chino,CHNO,Chino Fault,CHNF
PNRA-ELSZ-CYMT-Elsinore_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Coyote Mountain,CYMT,Elsinore fault,ELSF
PNRA-ELSZ-GLIV-Glen_Ivy_North_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Glen Ivy,GLIV,Glen Ivy North fault,GINF
PNRA-ELSZ-GLIV-Glen_Ivy_South_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Glen Ivy,GLIV,Glen Ivy South fault,GISF
PNRA-ELSZ-INDV-Indiviso_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Indiviso,INDV,Indiviso fault,INDF
PNRA-ELSZ-INDV-Indiviso_fault_splay-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Indiviso,INDV,Indiviso fault,INDF
PNRA-ELSZ-JULN-Elsinore_fault_Wildomar_link-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Julian,JULN,Elsinore-Wildomar link,ELWL
PNRA-ELSZ-JULN-Elsinore_fault_north-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Julian,JULN,Elsinore fault-north,ELNF
PNRA-ELSZ-JULN-Elsinore_fault_south-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Julian,JULN,Elsinore fault-south,ELSF
PNRA-ELSZ-LGSD-Laguna_Salada_fault_east_branch_dipping-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-east branch,LSFE
PNRA-ELSZ-LGSD-Laguna_Salada_fault_east_branch_dipping_splay-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-east branch,LSFE
PNRA-ELSZ-LGSD-Laguna_Salada_fault_north-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-north,LSFN
PNRA-ELSZ-LGSD-Laguna_Salada_fault_south-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-south,LSFS
PNRA-ELSZ-LGSD-Laguna_Salada_fault_west_branch_center-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-west branch,LSFW
PNRA-ELSZ-LGSD-Laguna_Salada_fault_west_branch_deep_splay-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-west branch,LSFW
PNRA-ELSZ-LGSD-Laguna_Salada_fault_west_branch_east-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-west branch,LSFW
PNRA-ELSZ-LGSD-Laguna_Salada_fault_west_branch_west-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-west branch,LSFW
PNRA-ELSZ-SRCP-Borrego_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Borrego fault,BRGF
PNRA-ELSZ-SRCP-Paso_Inferior_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Paso Inferior fault,PSIF
PNRA-ELSZ-SRCP-Paso_Superior_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Paso Superior detachment,PSSD
PNRA-ELSZ-SRCP-Pescadores_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Pescadores fault,PSDF
PNRA-ELSZ-SRCP-Sierra_Cucapah_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Sierra Cucapah fault,SCPF
PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Temecula,TMCL,Wildomar fault,WLDF
PNRA-ELSZ-TMCL-Willard_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Temecula,TMCL,Willard fault,WLRF
PNRA-ELSZ-WHIT-East_Montebello_fault-CFM3,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Whittier,WHIT,East Montebello fault,EMBF
PNRA-ELSZ-WHIT-Whittier_Heights_fault-CFM1,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Whittier,WHIT,Whittier Heights fault,WHTF
PNRA-ELSZ-WHIT-Whittier_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Whittier,WHIT,Whittier fault,WTRF
PNRA-ELSZ-WHIT-Workman_Hill_fault-CFM1,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Whittier,WHIT,Workman Hill fault,WMHF
PNRA-ELSZ-YUHA-Sierra_Cucapah_fault_NW_splay-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Yuha Desert,YUHA,Sierra Cucapah fault-NW_splay,SCPF
PNRA-ELSZ-YUHA-Sierra_Cucapah_fault_blind_north-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Yuha Desert,YUHA,Sierra Cucapah fault-blind,SCPB
PNRA-HSSF-AGCT-Agua_Caliente_fault_zone-CFM4,Peninsular Ranges Area,PNRA,Hot Springs-San Felipe fault zone,HSSF,Agua Caliente,AGCT,Agua Caliente fault zone,ACFZ
PNRA-HSSF-HOTS-Hot_Springs_fault-CFM4,Peninsular Ranges Area,PNRA,Hot Springs-San Felipe fault zone,HSSF,San Felipe,SFLS,San Felipe fault,SFLF
PNRA-HSSF-MRHS-Murrieta_Hotsprings_fault-CFM4,Peninsular Ranges Area,PNRA,Hot Springs-San Felipe fault zone,HSSF,Fish Creek Mountain,FCMS,Fish Creek Mountain fault,FCMF
PNRA-NBJD-CDVD-Canada_David_detachment-CFM3,Peninsular Ranges Area,PNRA,Northern Baja detachments,NBJD,Canada David,CDVD,Canada David detachment,CNDD
PNRA-NBJD-SRCP-Cerro_Centinela_fault-CFM2,Peninsular Ranges Area,PNRA,Northern Baja detachments,NBJD,Sierra Cucapah,SRCP,Cerro-Centinela fault,CRCF
PNRA-NIRC-LABS-Newport_Inglewood_fault_dip_w_splays_split-CFM5,Peninsular Ranges Area,PNRA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Multiple-Los Angeles basin,LABS,Newport-Inglewood fault,NIWF
PNRA-SJFZ-ANZA-Buck_Ridge_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Buck Ridge fault,BKRF
PNRA-SJFZ-ANZA-Clark_fault_north-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-north,CLFN
PNRA-SJFZ-ANZA-Clark_fault_south_east-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-south-east,CFSE
PNRA-SJFZ-ANZA-Clark_fault_south_main-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-south,CLFS
PNRA-SJFZ-ANZA-Clark_fault_south_west-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-south-west,CFSW
PNRA-SJFZ-ANZA-Clark_fault_south_west_link-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-south-west,CFSW
PNRA-SJFZ-ANZA-Hot_Springs_Buck_Ridge_link-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Buck Ridge-Hot Springs link,BRHS
PNRA-SJFZ-BRMT-Coyote_Creek_blind_fault_north_east-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Borrego Mountain,BRMT,Coyote Creek fault-northeast,CCRF
PNRA-SJFZ-BRMT-Coyote_Creek_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Borrego Mountain,BRMT,Coyote Creek fault,CCRF
PNRA-SJFZ-CYTC-Coyote_Creek_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Coyote Creek,CYTC,Coyote Creek fault,CCRF
PNRA-SJFZ-CYTC-Coyote_Creek_fault_center_east_splay-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Coyote Creek,CYTC,Coyote Creek fault-center,CCFC
PNRA-SJFZ-IMPV-Dixieland_fault-CFM5,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Imperial Valley,IMPV,Dixieland_fault,DXLF
PNRA-SJFZ-IMPV-Weinert_El_Centro_fault-CFM5,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Imperial Valley,IMPV,Weinert-El Centro fault,WECF
PNRA-SJFZ-IMPV-Weinert_Superstition_Hills_link-CFM5,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Imperial Valley,IMPV,Weinert-Superstition Hills link,WSHL
PNRA-SJFZ-SBRN-Glen_Helen_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,Glen Helen fault,GHNF
PNRA-SJFZ-SBRN-Loma_Linda_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,Loma Linda fault,LLNF
PNRA-SJFZ-SBRN-Lytle_Creek_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,Lytle Creek fault,LTCF
PNRA-SJFZ-SBRN-Rialto_Colton_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,Rialto-Colton fault,RCLF
PNRA-SJFZ-SBRN-San_Jacinto_Claremont_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,San Jacinto-Claremont fault,SJCF
PNRA-SJFZ-SJCV-Casa_Loma_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Casa Loma fault,CSLF
PNRA-SJFZ-SJCV-Claremont_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Claremont fault,CLMF
PNRA-SJFZ-SJCV-Hot_Springs_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Hot Springs fault,HSPF
PNRA-SJFZ-SJCV-Hot_Springs_fault_west-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Hot Springs fault-west,HSFW
PNRA-SJFZ-SJCV-San_Jacinto_Claremont_fault-east-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Claremont fault,CLMF
PNRA-SJFZ-SSHS-Superstition_Hills_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Superstition Hills,SSHS,Superstition Hills fault,SSHF
PNRA-SJFZ-SSMT-Superstition_Mountain_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Superstition Mountain,SSMT,Superstition Mountain fault,SSMF
PNRA-SJFZ-SSMT-West_Mesa_fault-CFM5,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Superstition Mountain,SSMT,West Mesa fault,WMSF
SAFS-MHFZ-LSBM-Berdoo_Canyon_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Little San Bernardino Mts,LSBM,Berdoo Canyon fault,BDCF
SAFS-MHFZ-LSBM-Indio_Hills_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Little San Bernardino Mts,LSBM,Indio Hills fault,INHF
SAFS-MHFZ-MCHS-Hidden_Springs_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Mecca Hills,MCHS,Hidden Springs fault,HDSF
SAFS-MHFZ-MCHS-Mecca_Hills_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Mecca Hills,MCHS,Mecca Hills fault,MCHF
SAFS-MHFZ-MCHS-Painted_Canyon_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Mecca Hills,MCHS,Painted Canyon fault,PTCF
SAFS-MHFZ-MULT-Mecca_Hills_Hidden_Springs_fault_deep-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Multiple sections,MULT,Mecca Hills-Hidden Springs deep fault,MHSF
SAFS-SAFZ-1812-San_Andreas_fault_rupture-LOZS-CFM5,San Andreas Fault System,SAFS,SAFZ rupture models,SAFZ,1812 Rupture-Mojave SAF+nSJF,1812,San Andreas fault,SAF
SAFS-SAFZ-1857-San_Andreas_fault_rupture-CFM5,San Andreas Fault System,SAFS,SAFZ rupture models,SAFZ,1857 Rupture-Parkfield-Mojave,1857,San Andreas fault,SAF
SAFS-SAFZ-BSZS-Southern_San_Andreas_blind_extension-CFM4,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Brawley Seismic Zone,BSZS,Southern San Andreas fault,SSAF
SAFS-SAFZ-CLCZ-San_Andreas_fault-CHLM-CFM4,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Cholame-Carrizo,CLCZ,San Andreas fault,SAF
